category,fsq_id,name,latitude,longitude,address,PC6
Restaurant,c634f6c5009b4c7c8ac48f28,Jiang L L,52.049413,4.288553,Staringstraat 17,2533VW
Café,4fa2e102e4b0bfaac0fbd370,Snackbar Beatrijs,52.057239,4.298082,,2531XC
Cafeteria,826f965c70db4fe1b522ec78,Beatrijs Cafetaria,52.057239,4.298082,Beatrijsstraat 5,2531XC
Restaurant,08c4ca59a2b447c5a6a38c6a,Pier Poffertjes en Pannenkoeken De,52.058402,4.294265,Troelstrakade 63,2531AA
Restaurant,6dc5c18a886a4a6be6e404b7,Jihane BV,52.058374,4.294419,Troelstrakade 63/A,2531AA
Restaurant,06dd926ec78742e2df0e1b93,Han Tur VOF,52.056131,4.295932,Moerweg 270,2531BE
Bakery,98a846ed3459449eea0bd73e,De Veganees,52.056852,4.29834,Beatrijsstraat 12,2531XE
Coffee Shop,4ed658834901f03684a4e344,Koffie Shop,52.048414,4.30519,,2531HP
Chinese Restaurant,4ccd98c9511b236a7b43f8c9,Hang Zhou,52.0516,4.305368,Heeswijkplein 150-151,2531HJ
Pub,4e1b103c6284c069739b464b,Comédien Le,52.051726,4.305192,Heeswijkplein 160,2531HJ
Café,4e1b103c6284c069739b464b,Comédien Le,52.051726,4.305192,Heeswijkplein 160,2531HJ
Coffee Shop,4e1b103c6284c069739b464b,Comédien Le,52.051726,4.305192,Heeswijkplein 160,2531HJ
Snack Place,508ab384e4b05f3f82c8d43b,Cafetaria Nieuw Plein,52.051463,4.304751,Tollenstraat 56,2531HV
Indonesian Restaurant,58554c7906f1a339fda65e39,Soeboer Garden,52.054321,4.307925,Assumburgweg 2,2531RX
Fish and Chips Shop,51e41b58498e5bd4fa975ff4,Vispaleis,52.050977,4.304158,,2531HC
Pizzeria,4e6a3b07b61cc3728d7f4dfb,Salsa Pizzeria,52.051675,4.303416,Lampreistraat 106,2531HA
Lounge,52d9761f498e8d6b9bfe61a0,Sel Lounch,52.053612,4.302217,,2531TV
Food Truck,4ec41bc90aaf9233ed378892,Food Market,52.050726,4.302478,,2531JC
Restaurant,112041766d574fd09ea83f38,Tura Bakkerij en Restaurant,52.050711,4.304759,Heeswijkplein 45,2531HD
Bakery,b943e3af52b34c2c8f6cea54,Coorn Bakkerij,52.05547,4.304707,Coornhertstraat 22,2531VC
Snack Place,4dd5259f7d8b194450d2751a,Snackbar Buurman,52.055832,4.304432,Coornhertstraat 3,2531AR
Ice Cream Parlor,4dc1b0fa8877c00d6adeac1c,Dolomiti IJssalon,52.056424,4.301529,Melis Stokelaan 13,2533CM
Restaurant,4dc1b0fa8877c00d6adeac1c,Dolomiti IJssalon,52.056424,4.301529,Melis Stokelaan 13,2533CM
Dining and Drinking,b8628cdf2623417ab81dea33,Miranda Snackkiosk,52.056424,4.301529,Melis Stokelaan 1,2533CM
Bar,50f34a19e4b04cd010e8b5e3,Caffe Melis,52.055829,4.299817,,2533CP
Café,9f9d71f5e5f54c68db386283,Punt Koffiehuis De,52.056801,4.300656,Troelstrakade 471,2531AL
Coffee Shop,9f9d71f5e5f54c68db386283,Punt Koffiehuis De,52.056801,4.300656,Troelstrakade 471,2531AL
